,num_features,train_acc,test_acc,best_param
0,5,0.9434792418772563,0.8813176895306859,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 500}"
1,10,0.9545351985559567,0.8885379061371841,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 1000}"
2,15,1.0,0.901173285198556,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 100}"
3,20,0.9995487364620939,0.901173285198556,"{'criterion': 'gini', 'max_depth': 20, 'n_estimators': 50}"
4,25,1.0,0.921028880866426,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 1000}"
5,30,1.0,0.9201263537906137,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 500}"
6,35,1.0,0.9174187725631769,"{'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 500}"
